word,freq,Volume,start_dates
requesting,1,1,1946-09-12
dr,197,1,1946-09-12
sachchidananda,12,1,1946-09-12
sinha,45,1,1946-09-12
take,164,1,1946-09-12
chair,26,1,1946-09-12
temporary,20,1,1946-09-12
chairman,190,1,1946-09-12
said,115,1,1946-09-12
friend,82,1,1946-09-12
auspicious,3,1,1946-09-12
occasion,31,1,1946-09-12
historical,5,1,1946-09-12
importance,10,1,1946-09-12
invite,10,1,1946-09-12
behalf,36,1,1946-09-12
assembly,609,1,1946-09-12
need,51,1,1946-09-12
introduction,2,1,1946-09-12
know,139,1,1946-09-12
oldest,4,1,1946-09-12
among,18,1,1946-09-12
u,294,1,1946-09-12
also,172,1,1946-09-12
parliamentarian,1,1,1946-09-12
india,434,1,1946-09-12
served,2,1,1946-09-12
member,288,1,1946-09-12
imperial,2,1,1946-09-12
legislative,13,1,1946-09-12
council,5,1,1946-09-12
1910,1,1,1946-09-12
1920,4,1,1946-09-12
entered,4,1,1946-09-12
central,33,1,1946-09-12
1921,2,1,1946-09-12
one,266,1,1946-09-12
deputy,2,1,1946-09-12
president,47,1,1946-09-12
entrusted,1,1,1946-09-12
portfolio,1,1,1946-09-12
executive,17,1,1946-09-12
councillor,1,1,1946-09-12
finance,7,1,1946-09-12
government,184,1,1946-09-12
bihar,21,1,1946-09-12
orissa,9,1,1946-09-12
far,52,1,1946-09-12
remember,25,1,1946-09-12
first,98,1,1946-09-12
indian,186,1,1946-09-12
ever,13,1,1946-09-12
appointed,27,1,1946-09-12
province,140,1,1946-09-12
particular,31,1,1946-09-12
taste,1,1,1946-09-12
education,5,1,1946-09-12
vicechancellor,1,1,1946-09-12
patna,1,1,1946-09-12
university,3,1,1946-09-12
eight,2,1,1946-09-12
year,71,1,1946-09-12
congressman,3,1,1946-09-12
till,52,1,1946-09-12
congress,110,1,1946-09-12
time,209,1,1946-09-12
secretary,25,1,1946-09-12
started,10,1,1946-09-12
new,51,1,1946-09-12
way,114,1,1946-09-12
gain,6,1,1946-09-12
freedom,104,1,1946-09-12
parted,1,1,1946-09-12
company,2,1,1946-09-12
however,48,1,1946-09-12
never,27,1,1946-09-12
wholly,3,1,1946-09-12
left,23,1,1946-09-12
always,33,1,1946-09-12
helping,1,1,1946-09-12
joined,6,1,1946-09-12
organization,3,1,1946-09-12
sympathy,9,1,1946-09-12
person,31,1,1946-09-12
entitled,21,1,1946-09-12
work,162,1,1946-09-12
brief,10,1,1946-09-12
important,61,1,1946-09-12
inaugurating,1,1,1946-09-12
proceeding,35,1,1946-09-12
house,368,1,1946-09-12
begin,12,1,1946-09-12
every,69,1,1946-09-12
divine,3,1,1946-09-12
blessing,7,1,1946-09-12
request,24,1,1946-09-12
invoke,2,1,1946-09-12
may,480,1,1946-09-12
proceed,36,1,1946-09-12
smoothly,2,1,1946-09-12
call,29,1,1946-09-12
upon,67,1,1946-09-12
